SOL,MINIMUM,MAXIMUM,MEDIAN,MEAN,MODE,STD
1,259.9,278.62,267.44,267.976294117647,267.77,4.53142845064393
135,202.67,264.03,221.11,226.830204037413,209.2,16.8045077848318
39,197.15,265.86,241.03,234.051081770833,207.18,21.4760032792762
89,199.85,272.62,239.11,234.57258707892,262.1,19.2557283083232
63,200.45,272.92,239.88,239.060712903665,257.49,21.6459508996786
117,204.18,269.29,241.83,237.367976293727,241.91,19.0717050245745
422,190.94,250.42,214.64,220.025000205364,213.21,17.5248169157472
38,198.58,259.51,224.81,227.555705420418,200.18,19.9370473238328
134,202.05,272.79,220.21,228.825101031193,213.46,18.2151224596938
116,202.68,266.89,229.51,231.450696895776,219.52,16.3705845647313
88,196.57,271.16,238.53,232.842248852953,241.28,18.6116205731262
62,200.49,272.41,233.39,234.552676056338,208.04,23.1865269074596

37,199.25,273.59,222.64,228.973788404064,211.39,19.5186988183144
421,191.44,247.3,219.64,220.326076673866,242.29,16.8319077251481
133,205.7,273.27,223.6,228.642550497821,210.51,19.1254206708915
87,198.06,272.21,235.35,230.497414734186,239.6,17.6080820472969
61,200.83,272.01,243.67,240.714510957108,206.88,23.6155200079792
114,203.59,268.05,230,231.990541783575,233.75,16.0985249271292
420,192.03,254.6,221.02,219.273939196996,197.16,17.1306250132029
36,197.7,271.75,217.79,224.539150292398,199.16,20.623294291031
1622,201.44,264.86,233,230.48001387316,205.28,19.769039937393
86,202.41,268.71,233.71,231.47500996144,211.8,17.0333778006031
60,198.09,271.47,239.26,241.209878006873,219.61,18.9957829066055
419,180.81,247.64,216.81,215.651088695429,203.79,15.9053876677722
35,199.68,271.99,220.855,228.066978174603,213.52,19.6932933334441
1621,200.35,258.25,223.54,228.31791517944,209.08,17.7490905350492
85,201.82,273.12,228.2,231.507004144844,208.15,17.5444053166858
59,195.98,272.76,237.06,237.949242990654,202.86,21.8413919372647
34,199.06,274.42,216.53,224.934862581202,213.83,21.5571844751238
418,193.14,249.41,216.02,221.580207296848,240.49,18.9887099804214
112,203.76,264.45,225.57,228.781056243236,207.71,15.2642835958073
1620,202.57,264.7,221.83,228.871255332337,206.57,19.3156090647775
84,203.52,272.68,234.83,235.957449198945,221.86,17.8835629380302
58,198.64,271.24,251.62,244.384283771929,256.76,18.3063956785058
417,185.25,249.42,214.62,219.90782068168,241.82,20.1133180377808
913,202.32,267.67,213.59,220.665520040589,213.43,16.7260046042472
33,197.97,270.97,219.69,223.863993306512,199.2,19.6940601486381
83,193.14,273.99,221.48,225.473625908736,204.36,19.1039112137599
1619,199.23,263.91,239.79,234.52064069189,206.79,17.1783275509528
111,207.08,269.38,228.88,231.357982986769,208.36,17.8258237763049
416,194.24,255.16,235.4,225.488382205417,242.57,19.9527742415206
674,193.73,256.27,229.76,223.835840555304,207.72,19.7499981907178
912,197.6,267.26,220.79,225.363599608593,206.95,17.7734325622067
1148,191.93,242.43,207.7,212.909770566468,195.56,16.521546173141
1618,201.77,266.93,237.3,232.278463792503,255.55,19.1945649136894
110,206.52,268.16,223.67,228.904313692222,258.96,17.084688949883
415,190.81,254.07,220.54,221.894775971007,204.17,18.6427054151735
1147,191.58,241.89,212.64,213.256451521344,194.74,15.7266274607952
