SOL,MINIMUM,MAXIMUM,MEDIAN,MEAN,MODE,STD
34,696.72,796.12,760.86,750.832601174204,774.88,31.3010560514039
418,848.17,924.34,874.7,884.719121061359,911.87,25.3670374815263
112,791.12,898.87,868.04,858.785860803926,872.2,29.1122003800444
1620,792.37,888.72,849.05,843.667525066541,864.78,27.8488094334254
84,756.06,839.95,802.74,799.418882174001,823.26,21.5792847547408
58,722.01,812.07,734.28,743.302195175438,722.32,24.2261580426455
417,847.59,924.55,890.56,888.919335667703,910.21,24.7486342061035
913,820.67,910.26,888.4,881.2699391172,888.39,21.0826206434177
83,753.66,840.63,810.7,803.187446502649,825.3,26.0164503764313
33,696.44,796.8,764.81,750.43462099904,764.94,27.1668041753938
1619,788.58,890.79,832.2,829.186692988544,788.82,31.0821029855097
111,785.09,897.04,860.33,848.712875236294,874.99,35.087577776596
416,846.48,923.75,877.91,881.081819970679,846.66,22.008799666235
674,694.65,781.45,734.69,736.313423830451,757.94,23.1492331554794
912,827.22,912.75,884.29,881.097136503136,886.15,19.3372745725626
1148,867.1,928.86,897.76,898.255615713067,897.47,21.3650189918389
1618,793.11,889.3,844.73,837.337675235001,793.53,31.9949538403392
110,782.8,897.93,865.34,850.81976537315,868.86,33.3376761520644
415,846.67,923.17,879.59,878.808373905511,909.41,24.4049560625357
1147,865.78,927.74,902.83,898.361768846502,866.06,21.9974719241121
673,691.4,780.39,740.91,737.676181699132,755.61,22.9635649305458
1617,785.76,883.56,832.7,831.265479456456,870.76,35.8993002853296
911,822.66,912.29,877.27,869.239515429058,911.98,31.3363470015098
414,844.72,923.22,879.04,877.054681939573,844.91,24.7610817738328
672,695.86,779.61,737.46,736.78487436823,755.89,23.8063813870517
109,777.2,893.63,851.5,843.104744981297,869.41,35.4855383457171
1146,867.41,929.58,919.16,907.947936482397,919.16,19.9773356146897
1616,791.88,892.52,832.41,839.099542584009,866.4,28.7696199031475
413,843.26,922.67,872.27,875.324146615697,843.53,26.2075566974578
910,828.44,916.09,897.77,885.026803937032,915.74,25.5799991489887
671,695.95,781.4,727.96,738.611848687725,755.33,24.4754817104241
108,774.22,899.48,837.43,828.865172267522,865.78,39.4174325878447
1145,868.08,931.11,919.23,907.183572457504,919.7,19.677735242425
1615,790.91,882.64,861.01,848.68651693529,864.46,24.4627172129942
412,843.27,921.73,883.06,883.236233198145,843.43,22.7433714536061
670,695.04,780.22,737.65,738.754444490081,750.9,24.307074355282
909,826.35,917.7,889.74,882.263356426672,903.42,25.6741767679756
1144,867.45,929.99,914.15,907.609738828745,923.7,19.247283819575
1381,702.84,797.64,743.97,744.291122467341,776.82,26.3727661571098
669,691.81,774.23,737.57,734.90614408346,750.38,24.2009564139515
411,842.69,920.62,887.58,886.116680587232,906.65,21.3503410580926
1143,867.62,930.29,918.78,910.958002379408,929.98,16.8188813447009
1380,701.19,799.37,736.355,744.4570389671,768.13,28.2259029145006
908,831.46,922.17,902.93,887.174191741358,910.14,24.7689307815128
1379,700.06,798.15,744.46,749.909779675491,797.99,30.400513659269
668,689.01,771.84,735.7,726.836832293784,752.51,26.3386673078007
410,842.49,921.88,883.44,880.674659087622,842.69,23.8496187280868
1142,867.27,931.22,913.11,906.27114459186,896.95,20.0365767266669
1611,796.89,798.96,798.565,798.542666666667,798.56,0.239829506296445
907,828.19,914,892.47,885.003428333185,906.81,25.5126400616733
1378,698.97,799.19,751.52,752.980187994117,749.21,31.4915929456238
667,691.4,773.55,737.41,732.461384688652,691.62,23.0997456962168
1610,785.8,884.92,869.55,867.234673618771,860.97,9.25946501288127
409,842.2,921.47,894.17,888.156764356009,842.4,22.0817123438134
1141,867.89,929.94,904.865,903.278291582297,917.35,18.1180058622831
666,692.3,771.37,747.405,734.872551527421,751.84,22.8635236984474
