SOL,MINIMUM,MAXIMUM,MEDIAN,MEAN,MODE,STD
1611,1.78,1.87,1.81,1.81694915254237,1.8,0.0187776680723393
907,0.48,12.1,1.32,2.86526063437421,0.57,2.72906445868427
1378,0.53,23.1,2.74,4.34781346339671,0.71,4.28044598609274
667,0.85,17.48,1.91,4.10487209025184,1.21,3.7492827642763
1610,0.88,14.68,6.05,5.67256322761943,3.71,2.13300234877748
409,1.05,16.16,5.15,4.77067024999095,1.12,2.69186767471319
1141,1.2,14.67,4.35,4.50216845151954,1.31,2.75530044440404
666,0.71,23.28,3.38,5.14847167204054,1.9,4.72580632517883
906,0.47,12.35,1,2.789557258755,0.69,2.48847755618008
1377,0.49,22.51,2.31,4.599866216762,0.53,4.55758894788555
1609,0.81,12.8,3.32,3.30248112958562,0.85,2.29204622596286
408,1,12.6,4.69,4.09735729658543,4.82,2.43283456580339
1140,1.2,16.16,2.84,4.71963872878903,1.72,3.20103003544481
665,0.59,22.23,2.45,3.81363502472206,0.63,4.02103398225918
905,0.52,11.75,2.69,3.24069957514221,0.61,2.59181965600843
1608,0.65,14.29,3.25,4.1315691897686,1.07,3.14148472131541
1376,0.49,25.5,1.5,4.03875742732102,0.57,4.89368645794981
407,0.81,18.8,5.38,5.09112849606128,1.33,3.13085875881804
664,0.74,31.77,2.8,3.7983603255508,0.81,4.02965833872481
1139,1.24,13.87,4.4,5.29590997362393,1.72,3.12574330988893
406,0.8,18.44,3.11,3.96997597512719,3.1,3.66016971694665
1607,0.73,13.2,3.95,4.62675253820864,1.31,3.13551471819041
1375,0.67,17.35,1.97,3.88537483545767,1.05,3.95186840730423
663,0.81,25.64,2.65,4.06528159203981,0.85,4.08080132445075
1138,1.28,18.22,3.63,4.2247496711608,1.37,3.15378884102071
405,0.96,18.33,6.83,6.06724380318164,7.08,2.29445276965296
1606,0.69,14.83,2.27,3.70457604306871,0.73,2.97073037058441
662,0.68,15.58,2.37,3.81911001432895,0.71,3.10458441688115
903,0.56,14.38,2.56,3.29061217391304,0.64,2.39627629852427
1374,0.75,20.75,2.31,4.5305491180636,0.94,4.24398347992788
404,0.84,20.19,4.98,5.12640609430753,0.91,3.43013857378086
1137,1.23,23.21,2.58,3.91791663992814,1.31,3.49216644404078
1605,0.75,18.85,2.76,3.83691846566879,0.87,2.94911192458646
661,0.73,18.09,1.74,4.17563787167445,0.76,3.687803337169
1136,1.33,17.71,1.76,3.15912322402895,1.46,2.4046653676801
902,0.56,10.63,2.71,3.31474479000609,0.61,2.36209634771325
403,0.84,16.8,5.77,5.8856894836494,0.88,4.09669011491859
1373,0.85,19.74,2.25,4.28855710144927,1.09,3.97653041896423
660,0.96,24.87,3.65,5.8793439372983,1.9,5.36478951359337
1135,1.23,17.16,2.86,4.54747064607555,1.77,3.15000929803461
1604,0.78,16.15,2.61,3.2976806531093,0.84,2.53991860041209
1372,0.67,23.92,2.07,3.56140023058883,0.74,3.72450374682872
901,0.65,13.67,1.49,3.76001219825372,0.94,3.53492258375199
402,0.9,12.63,6.21,4.90955606056601,1.49,3.14196002001041
659,0.98,25.03,2.63,4.29320861362101,1.25,4.11975270542532
1134,1.25,14.94,2.74,4.60718477882273,1.28,3.36401794301083
